charger_type,vehicle_model,charging_station_location
Level 1,BMW i3,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,BMW i3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,BMW i3,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,BMW i3,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,BMW i3,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,BMW i3,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,BMW i3,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,BMW i3,Chicago
Level 1,BMW i3,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,BMW i3,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,BMW i3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,BMW i3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,BMW i3,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,BMW i3,Chicago
Level 1,BMW i3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,BMW i3,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,Hyundai Kona,Chicago
Level 1,BMW i3,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Nissan Leaf,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Tesla Model 3,Chicago
Level 1,Chevy Bolt,Chicago
Level 1,Nissan Leaf,Houston
Level 1,Tesla Model 3,Houston
Level 1,Nissan Leaf,Houston
Level 1,Hyundai Kona,Houston
Level 1,Hyundai Kona,Houston
Level 1,Hyundai Kona,Houston
Level 1,Chevy Bolt,Houston
Level 1,BMW i3,Houston
Level 1,Hyundai Kona,Houston
Level 1,Nissan Leaf,Houston
Level 1,Hyundai Kona,Houston
Level 1,BMW i3,Houston
Level 1,Chevy Bolt,Houston
Level 1,Hyundai Kona,Houston
Level 1,BMW i3,Houston
Level 1,BMW i3,Houston
Level 1,BMW i3,Houston
Level 1,BMW i3,Houston
Level 1,Hyundai Kona,Houston
Level 1,Tesla Model 3,Houston
Level 1,Nissan Leaf,Houston
Level 1,Tesla Model 3,Houston
Level 1,Tesla Model 3,Houston
Level 1,Hyundai Kona,Houston
Level 1,Hyundai Kona,Houston
Level 1,Chevy Bolt,Houston
Level 1,Nissan Leaf,Houston
