vehicle_age,vehicle_model,charging_station_location
0,Nissan Leaf,San Francisco
0,Nissan Leaf,New York
0,Nissan Leaf,San Francisco
0,BMW i3,San Francisco
0,Nissan Leaf,Chicago
0,BMW i3,San Francisco
0,Chevy Bolt,San Francisco
0,BMW i3,San Francisco
0,Nissan Leaf,San Francisco
0,Tesla Model 3,Chicago
0,BMW i3,Houston
0,Chevy Bolt,Los Angeles
0,Tesla Model 3,Chicago
0,Nissan Leaf,Houston
0,Tesla Model 3,Los Angeles
0,Tesla Model 3,Chicago
0,Chevy Bolt,Chicago
0,BMW i3,Los Angeles
0,Hyundai Kona,San Francisco
0,Hyundai Kona,San Francisco
0,BMW i3,Chicago
0,Chevy Bolt,New York
0,Hyundai Kona,New York
0,BMW i3,Los Angeles
0,Chevy Bolt,Los Angeles
0,Hyundai Kona,San Francisco
0,Tesla Model 3,Chicago
0,Tesla Model 3,Los Angeles
0,Chevy Bolt,San Francisco
0,Hyundai Kona,Los Angeles
0,Nissan Leaf,Houston
0,Nissan Leaf,Los Angeles
0,Nissan Leaf,Houston
0,Tesla Model 3,San Francisco
0,Hyundai Kona,Houston
0,Chevy Bolt,New York
0,Tesla Model 3,New York
0,BMW i3,Chicago
0,Hyundai Kona,Houston
0,BMW i3,San Francisco
0,Hyundai Kona,Chicago
0,Chevy Bolt,Los Angeles
0,Hyundai Kona,Chicago
0,Hyundai Kona,New York
0,Nissan Leaf,Houston
0,Nissan Leaf,San Francisco
0,BMW i3,Los Angeles
0,Hyundai Kona,New York
0,Chevy Bolt,San Francisco
0,Nissan Leaf,New York
0,Chevy Bolt,San Francisco
0,Tesla Model 3,New York
0,BMW i3,Chicago
0,Hyundai Kona,Chicago
0,Hyundai Kona,Los Angeles
0,BMW i3,San Francisco
0,Hyundai Kona,Chicago
0,Chevy Bolt,Chicago
0,BMW i3,New York
0,Hyundai Kona,Chicago
0,Hyundai Kona,Los Angeles
0,Hyundai Kona,Los Angeles
0,Nissan Leaf,San Francisco
0,Tesla Model 3,New York
0,Hyundai Kona,Houston
0,Hyundai Kona,Los Angeles
0,Hyundai Kona,Los Angeles
0,Tesla Model 3,Los Angeles
0,Nissan Leaf,San Francisco
0,BMW i3,Los Angeles
0,Hyundai Kona,San Francisco
0,Chevy Bolt,San Francisco
0,Hyundai Kona,New York
0,Chevy Bolt,Los Angeles
0,BMW i3,Chicago
0,Chevy Bolt,Chicago
0,Tesla Model 3,Chicago
0,Hyundai Kona,Los Angeles
0,Tesla Model 3,New York
